% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.127214	1	1	1	1.22609e-13	258.483	0
0.127214	1	2	2	3.21751e-13	678.311	0
0.127214	1	3	3	5.13322e-14	108.218	0
0.128214	1	1	1	1.22615e-13	258.495	0
0.128214	1	2	2	3.21734e-13	678.275	0
0.128214	1	3	3	5.13276e-14	108.208	0
0.129214	1	1	1	1.22621e-13	258.507	0
0.129214	1	2	2	3.21717e-13	678.239	0
0.129214	1	3	3	5.1323e-14	108.198	0
0.130214	1	1	1	1.22626e-13	258.519	0
0.130214	1	2	2	3.217e-13	678.202	0
0.130214	1	3	3	5.13183e-14	108.189	0
0.131214	1	1	1	1.22632e-13	258.531	0
0.131214	1	2	2	3.21682e-13	678.166	0
0.131214	1	3	3	5.13137e-14	108.179	0
0.132214	1	1	1	1.22638e-13	258.543	0
0.132214	1	2	2	3.21665e-13	678.129	0
0.132214	1	3	3	5.13091e-14	108.169	0
0.133214	1	1	1	1.22643e-13	258.555	0
0.133214	1	2	2	3.21648e-13	678.093	0
0.133214	1	3	3	5.13045e-14	108.159	0
0.134214	1	1	1	1.22649e-13	258.567	0
0.134214	1	2	2	3.2163e-13	678.056	0
0.134214	1	3	3	5.12998e-14	108.15	0
0.135214	1	1	1	1.22655e-13	258.579	0
0.135214	1	2	2	3.21613e-13	678.02	0
0.135214	1	3	3	5.12952e-14	108.14	0
0.136214	1	1	1	1.2266e-13	258.591	0
0.136214	1	2	2	3.21596e-13	677.984	0
0.136214	1	3	3	5.12906e-14	108.13	0
0.137214	1	1	1	1.22666e-13	258.603	0
0.137214	1	2	2	3.21579e-13	677.947	0
0.137214	1	3	3	5.1286e-14	108.12	0
0.138214	1	1	1	1.22672e-13	258.615	0
0.138214	1	2	2	3.21561e-13	677.911	0
0.138214	1	3	3	5.12814e-14	108.111	0
0.139214	1	1	1	1.22677e-13	258.627	0
0.139214	1	2	2	3.21544e-13	677.874	0
0.139214	1	3	3	5.12767e-14	108.101	0
0.140214	1	1	1	1.22683e-13	258.639	0
0.140214	1	2	2	3.21527e-13	677.838	0
0.140214	1	3	3	5.12721e-14	108.091	0
0.141214	1	1	1	1.22689e-13	258.651	0
0.141214	1	2	2	3.2151e-13	677.802	0
0.141214	1	3	3	5.12675e-14	108.081	0
0.142214	1	1	1	1.22694e-13	258.663	0
0.142214	1	2	2	3.21492e-13	677.765	0
0.142214	1	3	3	5.12629e-14	108.072	0
0.143214	1	1	1	1.227e-13	258.675	0
0.143214	1	2	2	3.21475e-13	677.729	0
0.143214	1	3	3	5.12583e-14	108.062	0
0.144214	1	1	1	1.22706e-13	258.686	0
0.144214	1	2	2	3.21458e-13	677.692	0
0.144214	1	3	3	5.12536e-14	108.052	0
0.145214	1	1	1	1.22711e-13	258.698	0
0.145214	1	2	2	3.2144e-13	677.656	0
0.145214	1	3	3	5.1249e-14	108.042	0
0.146214	1	1	1	1.22717e-13	258.71	0
