% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
7.881	1	1	1	5324.97	0
7.882	1	2	2	5324.23	0
7.883	1	3	3	5324.24	0
7.921	1	1	1	5324.97	0
7.922	1	2	2	5324.22	0
7.923	1	3	3	5324.24	0
7.961	1	1	1	5324.97	0
7.962	1	2	2	5324.22	0
7.963	1	3	3	5324.24	0
8.001	1	1	1	5324.42	0
8.002	1	2	2	5323.5	0
8.003	1	3	3	5324.73	0
8.041	1	1	1	5323.83	0
8.042	1	2	2	5323.26	0
8.043	1	3	3	5324.8	0
8.081	1	1	1	5323.83	0
8.082	1	2	2	5323.26	0
8.083	1	3	3	5324.8	0
8.121	1	1	1	5323.83	0
8.122	1	2	2	5323.26	0
8.123	1	3	3	5324.8	0
8.161	1	1	1	5323.82	0
8.162	1	2	2	5323.27	0
8.163	1	3	3	5324.8	0
8.201	1	1	1	5323.82	0
8.202	1	2	2	5323.27	0
8.203	1	3	3	5324.8	0
8.241	1	1	1	5323.82	0
8.242	1	2	2	5323.27	0
8.243	1	3	3	5324.8	0
8.281	1	1	1	5323.82	0
8.282	1	2	2	5323.27	0
8.283	1	3	3	5324.8	0
8.321	1	1	1	5323.82	0
8.322	1	2	2	5323.27	0
8.323	1	3	3	5324.8	0
8.361	1	1	1	5323.82	0
8.362	1	2	2	5323.27	0
8.363	1	3	3	5324.8	0
8.401	1	1	1	5323.82	0
8.402	1	2	2	5323.28	0
8.403	1	3	3	5324.8	0
8.441	1	1	1	5323.82	0
8.442	1	2	2	5323.28	0
8.443	1	3	3	5324.8	0
8.481	1	1	1	5323.82	0
8.482	1	2	2	5323.28	0
8.483	1	3	3	5324.8	0
8.521	1	1	1	5323.82	0
8.522	1	2	2	5323.28	0
8.523	1	3	3	5324.8	0
8.561	1	1	1	5323.82	0
8.562	1	2	2	5323.28	0
8.563	1	3	3	5324.8	0
8.601	1	1	1	5323.82	0
8.602	1	2	2	5323.28	0
8.603	1	3	3	5324.8	0
8.641	1	1	1	5323.82	0
8.642	1	2	2	5323.29	0
